school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,part_time_job
GP,M,21,R,LE3,A,3,2,teacher,services,course,mother,1,3,0,no,yes,no,no,yes,no,no,no,5,5,1,3,2,1,27,17,17,13,no
GP,F,22,U,LE3,T,1,3,other,other,home,mother,1,3,0,yes,yes,no,no,yes,no,yes,yes,1,4,2,2,3,5,6,7,9,7,no
GP,F,20,U,GT3,T,3,2,health,health,other,mother,3,1,0,no,no,no,yes,yes,yes,no,yes,1,4,2,4,3,2,4,5,16,2,yes
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,no
GP,F,17,U,LE3,A,1,1,health,services,reputation,father,4,4,0,no,yes,yes,no,yes,no,yes,no,4,1,3,2,2,2,27,15,18,19,no
GP,M,15,U,GT3,T,2,3,health,teacher,other,father,1,1,0,yes,yes,no,yes,yes,no,yes,yes,4,1,2,1,2,3,4,8,9,12,yes
GP,F,19,U,LE3,T,0,4,at_home,teacher,reputation,other,3,3,2,yes,yes,no,no,no,yes,no,no,3,5,3,3,5,5,19,7,4,3,no
MS,M,16,U,LE3,T,2,3,at_home,services,course,father,1,1,3,no,yes,no,no,no,no,yes,yes,1,1,5,4,5,1,7,14,15,20,no
GP,F,22,U,LE3,T,0,3,other,health,course,father,4,2,0,no,no,yes,no,yes,no,yes,yes,5,3,2,4,2,4,8,12,14,14,yes
MS,F,21,R,GT3,A,1,4,other,at_home,home,mother,2,4,0,no,no,yes,yes,yes,no,yes,no,5,5,5,1,2,2,20,9,11,9,yes
GP,M,22,U,GT3,A,4,0,health,services,other,father,2,4,0,no,no,yes,yes,yes,yes,yes,no,5,1,4,5,2,1,15,12,15,12,yes
GP,F,17,R,GT3,A,2,1,health,at_home,home,mother,3,4,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,5,2,5,4,17,12,13,12,yes
GP,F,21,U,GT3,T,1,2,at_home,services,home,mother,2,3,2,no,yes,no,yes,no,yes,no,no,1,5,4,2,5,5,1,18,9,18,yes
MS,M,18,R,GT3,T,1,4,other,teacher,home,other,2,1,1,no,yes,no,yes,yes,yes,no,yes,2,1,3,1,2,2,11,19,15,12,yes
GP,M,16,U,GT3,T,2,3,at_home,teacher,home,other,2,3,0,no,yes,no,yes,no,no,yes,yes,1,4,4,2,3,5,9,15,13,13,no
GP,F,17,R,LE3,A,0,4,other,other,other,mother,1,4,0,no,no,no,no,yes,no,yes,no,1,2,5,5,4,4,7,10,9,5,yes
GP,M,16,U,LE3,T,0,4,teacher,health,reputation,other,4,2,3,no,no,yes,yes,no,yes,no,yes,3,1,1,1,2,3,26,4,1,3,yes
MS,M,18,U,LE3,T,3,0,health,teacher,reputation,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,1,1,1,5,2,29,10,7,7,yes
MS,M,15,U,LE3,A,3,4,health,at_home,home,father,2,2,0,no,yes,no,yes,no,no,yes,yes,4,5,1,1,2,4,21,9,5,5,yes
MS,F,18,U,GT3,A,1,0,teacher,at_home,course,father,4,4,0,yes,yes,no,no,yes,no,yes,no,1,2,2,3,5,1,27,14,14,16,no
GP,F,21,R,LE3,T,3,4,health,other,course,father,2,4,0,yes,yes,yes,yes,yes,yes,no,yes,1,1,5,5,2,5,23,14,16,14,yes
GP,M,21,U,GT3,T,0,2,teacher,other,course,other,3,3,0,yes,yes,no,no,no,no,no,no,2,4,5,1,3,2,9,11,10,10,yes
GP,F,22,R,LE3,T,1,2,teacher,teacher,reputation,mother,3,4,0,no,yes,no,yes,yes,no,no,yes,1,5,3,2,3,1,6,16,15,16,no
GP,F,22,R,GT3,A,4,3,other,services,reputation,father,2,2,0,no,no,no,no,yes,no,yes,yes,5,5,1,1,3,5,9,14,15,11,yes
MS,M,18,U,LE3,A,0,4,at_home,health,home,father,1,2,1,yes,no,no,no,no,yes,no,yes,3,3,2,4,3,4,15,10,14,0,no
MS,F,18,U,GT3,T,3,0,teacher,services,other,father,3,4,2,yes,no,no,no,yes,no,no,yes,2,2,2,1,3,4,1,14,17,16,yes
MS,F,22,U,GT3,A,3,1,at_home,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,no,yes,2,3,5,2,2,5,3,8,16,11,yes
MS,M,21,U,GT3,A,3,0,services,services,reputation,other,3,1,0,no,yes,no,no,yes,no,no,no,1,5,3,3,1,5,6,14,15,15,no
MS,M,19,R,GT3,A,4,4,teacher,at_home,course,father,4,3,0,no,no,yes,yes,no,yes,no,no,2,4,4,5,1,3,13,2,10,9,yes
MS,F,17,U,LE3,T,1,2,at_home,services,home,mother,1,2,0,yes,no,yes,no,no,yes,yes,no,4,3,4,1,2,2,1,15,11,12,yes
MS,M,15,R,GT3,A,1,0,at_home,teacher,reputation,mother,4,4,1,yes,yes,no,yes,yes,no,no,no,2,5,2,1,5,5,2,15,18,18,no
MS,M,22,R,GT3,T,3,1,teacher,other,home,mother,4,1,1,yes,no,no,yes,yes,no,yes,yes,4,5,2,1,3,1,14,1,4,6,no
GP,M,19,R,GT3,T,3,3,health,at_home,home,mother,2,2,0,yes,no,no,no,yes,no,yes,yes,4,5,4,4,1,1,7,8,5,2,no
MS,F,20,R,GT3,A,4,4,other,teacher,reputation,mother,4,3,3,yes,yes,yes,yes,yes,no,yes,yes,5,2,1,1,2,4,17,17,20,20,no
GP,M,15,R,GT3,T,2,2,health,at_home,course,other,1,3,0,yes,yes,no,yes,yes,no,no,no,3,1,3,2,1,2,4,10,13,12,yes
MS,F,21,U,GT3,T,2,0,teacher,other,reputation,father,2,3,0,yes,yes,yes,yes,no,yes,no,yes,5,5,1,4,5,1,12,18,20,17,no
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,9,8,10,yes
MS,F,17,U,LE3,A,1,3,at_home,health,home,other,4,1,3,yes,no,yes,yes,no,yes,yes,no,5,3,1,4,1,4,16,9,7,8,no
MS,F,17,U,LE3,A,2,3,health,health,home,father,3,1,0,yes,yes,no,no,yes,no,yes,yes,1,4,5,4,4,2,28,9,9,7,yes
GP,M,18,U,LE3,A,2,3,services,other,course,father,2,4,0,yes,yes,no,yes,yes,yes,yes,yes,4,1,5,4,4,1,17,13,10,9,no
GP,M,16,R,LE3,A,4,1,services,other,other,mother,2,4,0,no,no,no,no,yes,no,no,yes,3,3,3,2,5,1,3,9,12,15,yes
GP,F,21,U,GT3,A,0,0,at_home,services,other,father,2,1,0,yes,no,yes,yes,yes,yes,no,no,5,4,1,2,2,3,8,12,16,15,yes
MS,M,20,U,LE3,A,4,2,services,health,home,mother,4,3,0,yes,no,no,no,no,yes,yes,yes,3,1,4,5,3,1,25,6,8,7,no
MS,M,17,U,LE3,T,0,4,services,at_home,home,father,4,3,0,yes,yes,yes,yes,yes,yes,no,yes,2,4,3,3,1,3,13,10,8,4,yes
MS,F,18,R,GT3,A,4,0,teacher,teacher,reputation,other,2,2,0,yes,no,no,no,no,yes,no,no,5,2,4,2,1,3,0,8,5,8,no
MS,M,15,U,GT3,T,4,4,services,health,other,other,1,3,0,yes,no,no,yes,no,no,no,yes,1,3,3,2,3,4,26,4,4,3,yes
MS,F,16,U,GT3,A,3,2,services,other,reputation,father,2,3,0,yes,yes,no,yes,yes,no,no,no,1,2,2,4,5,4,29,12,11,8,no
GP,F,15,R,GT3,A,2,2,other,other,other,father,2,1,3,no,yes,no,yes,no,yes,no,yes,2,2,3,4,1,5,12,2,1,12,yes
MS,F,15,R,LE3,T,0,3,at_home,teacher,other,other,1,2,0,no,yes,yes,no,yes,no,no,yes,4,2,1,2,5,1,26,7,6,2,no
GP,F,20,U,GT3,A,0,4,services,at_home,home,mother,2,1,1,yes,yes,no,yes,yes,yes,yes,no,5,1,1,1,2,5,27,11,9,12,yes
MS,M,18,U,GT3,A,4,2,teacher,at_home,home,father,4,2,0,no,no,yes,no,no,yes,no,no,4,5,2,3,5,5,16,6,6,7,yes
MS,F,20,U,LE3,A,4,4,other,teacher,course,father,3,1,0,yes,no,no,yes,yes,yes,no,no,2,2,5,1,3,2,0,13,16,15,yes
GP,M,21,R,GT3,T,3,4,teacher,health,course,mother,3,4,0,no,yes,no,no,no,no,no,no,5,5,2,2,3,2,22,19,19,20,yes
MS,F,15,U,GT3,T,4,3,health,health,home,father,2,1,3,no,no,no,no,no,no,no,yes,4,2,1,1,1,1,2,4,1,10,yes
GP,M,15,R,GT3,A,4,0,other,other,home,mother,2,3,0,no,yes,yes,no,yes,no,no,no,5,2,2,1,1,3,13,7,3,3,yes
MS,M,16,U,GT3,T,3,2,services,teacher,course,other,3,4,0,yes,no,no,yes,no,yes,yes,yes,5,4,2,3,4,5,9,5,7,4,no
MS,F,20,R,GT3,A,4,2,teacher,teacher,reputation,father,2,3,3,yes,no,yes,yes,yes,no,yes,yes,4,4,2,1,2,5,11,10,10,6,no
MS,M,22,U,LE3,T,1,2,health,other,course,other,3,4,1,yes,no,yes,no,yes,no,no,no,5,1,1,4,2,1,17,14,13,12,no
GP,M,20,U,GT3,A,2,1,teacher,services,reputation,other,4,1,1,yes,yes,no,yes,no,no,no,no,1,5,5,3,1,4,19,14,11,11,no
MS,M,18,U,GT3,A,4,1,services,teacher,reputation,mother,4,3,0,no,yes,yes,yes,yes,yes,no,no,1,1,2,1,3,2,28,7,7,9,yes
MS,M,20,R,GT3,T,0,2,health,health,reputation,father,1,2,0,no,yes,yes,yes,no,yes,no,yes,1,2,3,5,4,3,16,11,11,11,yes
GP,F,15,R,LE3,T,4,1,teacher,services,other,father,3,2,3,no,no,no,no,no,no,no,no,3,5,2,4,3,4,6,20,20,2,no
MS,F,18,U,LE3,A,2,3,services,at_home,course,father,1,4,2,yes,yes,no,yes,yes,yes,no,yes,2,5,4,2,2,3,5,15,12,9,no
GP,F,19,R,GT3,T,4,2,health,health,reputation,mother,4,4,0,no,no,no,yes,yes,no,no,yes,3,4,1,5,1,3,9,7,6,4,yes
MS,F,19,U,LE3,T,3,4,other,teacher,home,other,4,4,0,no,yes,yes,yes,yes,no,yes,no,2,1,5,5,5,5,7,11,9,6,no
GP,M,19,R,LE3,A,4,2,services,teacher,home,father,1,3,0,no,no,yes,yes,no,no,yes,no,3,5,1,5,3,4,5,6,8,5,no
MS,M,21,R,GT3,T,1,2,at_home,teacher,reputation,other,1,4,0,yes,yes,no,yes,yes,no,yes,yes,2,4,2,4,4,3,6,14,15,18,yes
GP,F,18,R,GT3,T,1,4,health,other,other,other,3,4,0,no,no,yes,yes,yes,no,no,yes,2,4,3,1,2,2,16,8,11,7,no
MS,F,20,R,LE3,T,0,3,teacher,teacher,course,father,4,3,0,no,no,no,yes,no,yes,yes,no,1,2,5,1,1,4,14,18,16,19,no
MS,F,21,R,LE3,A,0,3,teacher,services,home,mother,4,4,3,yes,yes,no,no,yes,yes,no,yes,1,2,1,5,3,1,7,19,20,1,yes
MS,F,20,R,LE3,A,4,0,at_home,at_home,reputation,other,1,2,0,no,yes,yes,no,yes,no,no,yes,5,3,2,3,5,4,2,8,11,11,yes
GP,F,16,R,LE3,A,2,4,other,teacher,other,other,1,4,0,yes,no,yes,no,no,no,no,no,5,2,2,5,4,2,13,11,12,8,no
MS,F,15,R,LE3,A,0,0,other,at_home,reputation,father,3,3,0,no,no,no,yes,yes,yes,no,no,1,2,3,1,4,3,11,4,6,3,no
GP,M,20,U,GT3,T,2,2,services,other,reputation,father,1,1,0,yes,yes,yes,no,yes,no,no,yes,1,2,4,3,5,3,17,4,8,11,no
MS,M,16,U,LE3,A,3,4,services,at_home,other,mother,2,1,0,yes,yes,no,no,no,no,no,no,5,5,1,3,2,3,28,13,9,5,yes
GP,F,18,R,GT3,A,2,1,other,health,other,father,2,4,0,yes,yes,yes,yes,yes,yes,yes,yes,5,4,5,4,5,3,2,19,20,20,yes
MS,F,21,R,LE3,A,3,4,teacher,other,other,other,4,3,0,no,yes,no,no,yes,no,yes,yes,1,2,5,3,1,1,4,10,9,11,no
GP,F,17,R,GT3,T,0,1,other,services,course,other,2,2,0,yes,no,yes,no,no,no,yes,no,4,2,3,2,4,5,16,10,19,3,yes
MS,F,21,U,LE3,A,1,2,at_home,at_home,other,mother,1,3,0,yes,no,yes,yes,no,no,no,no,3,4,5,4,1,2,9,15,16,18,yes
GP,M,21,R,GT3,A,3,4,health,other,course,father,4,2,0,no,yes,no,no,yes,yes,no,no,1,1,2,5,1,4,4,6,9,5,no
GP,F,15,U,GT3,A,4,1,health,at_home,reputation,other,2,1,0,yes,yes,yes,no,no,yes,no,yes,3,1,5,4,2,4,12,15,11,14,no
GP,F,20,U,LE3,T,1,3,services,other,home,father,1,2,0,no,yes,no,yes,no,yes,no,no,1,3,2,5,3,1,7,4,0,0,yes
GP,F,22,R,GT3,T,3,4,teacher,teacher,other,mother,4,1,0,no,yes,no,no,yes,no,yes,no,5,2,5,2,1,3,7,19,19,16,no
GP,F,22,U,LE3,T,1,2,teacher,other,course,father,4,2,0,yes,no,no,no,yes,no,no,yes,2,3,5,3,5,5,3,12,9,11,yes
MS,M,15,U,GT3,A,0,4,at_home,other,course,other,1,2,0,yes,no,no,yes,no,no,no,yes,1,5,4,2,4,4,22,17,17,13,yes
MS,F,21,R,GT3,T,3,4,at_home,services,other,mother,2,3,0,yes,no,no,yes,yes,yes,yes,no,3,2,1,2,1,5,9,18,19,20,no
MS,F,21,U,GT3,T,1,1,other,teacher,course,other,2,3,1,no,no,no,yes,yes,no,no,yes,2,1,2,4,4,4,2,5,7,6,yes
MS,M,22,R,GT3,T,1,3,other,teacher,course,father,2,3,0,yes,no,yes,yes,no,no,no,no,2,1,1,4,1,5,24,17,15,19,yes
MS,F,20,R,GT3,A,1,2,services,services,reputation,father,2,4,2,no,yes,yes,no,yes,no,yes,yes,3,2,1,4,3,5,7,4,5,11,no
MS,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no,no,yes,no,no,no,no,4,4,3,2,3,5,2,13,12,12,yes
GP,M,17,U,LE3,A,0,2,at_home,services,home,father,3,1,3,no,no,yes,yes,no,no,yes,no,1,5,2,3,1,1,13,8,12,15,yes
MS,M,20,R,LE3,A,2,2,at_home,other,course,mother,3,4,3,no,yes,no,no,no,yes,no,no,3,4,2,3,2,3,22,10,13,12,yes
GP,F,20,R,GT3,T,2,4,at_home,health,reputation,mother,2,3,0,yes,no,no,no,yes,no,yes,yes,4,1,1,3,2,3,2,6,9,9,yes
GP,F,18,R,GT3,A,0,3,teacher,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,2,1,1,4,5,5,1,17,14,16,yes
MS,F,16,R,GT3,T,3,2,teacher,other,other,mother,4,2,0,yes,no,yes,no,no,yes,no,yes,2,3,5,4,3,4,10,16,19,20,no
MS,F,21,R,GT3,T,4,1,at_home,other,reputation,father,1,2,0,no,no,yes,yes,yes,no,yes,yes,1,2,1,1,2,3,14,4,5,8,no
MS,M,20,U,LE3,A,2,2,health,at_home,reputation,other,1,1,3,yes,yes,yes,no,no,no,yes,yes,5,2,1,3,4,2,13,7,3,0,no
MS,F,15,U,GT3,A,0,3,other,health,other,father,2,4,3,yes,no,no,no,yes,no,yes,yes,5,2,2,2,3,5,7,16,20,17,no
MS,F,15,U,GT3,A,3,1,services,other,course,mother,2,2,0,yes,yes,no,yes,yes,yes,no,yes,5,1,2,3,5,4,27,18,16,14,yes
GP,M,22,R,LE3,T,3,4,at_home,other,reputation,father,4,3,0,yes,no,no,yes,yes,yes,yes,yes,5,5,3,2,2,5,14,9,6,8,no
GP,M,19,R,LE3,A,1,2,teacher,health,home,mother,1,1,0,no,no,no,yes,yes,yes,no,yes,4,1,5,2,5,3,25,8,12,8,yes
GP,F,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,1,5,20,13,12,12,no
GP,M,21,R,LE3,T,3,1,teacher,teacher,course,other,1,4,0,yes,yes,no,no,no,yes,no,no,5,4,2,4,1,4,8,6,3,5,yes
GP,M,19,R,GT3,A,3,0,at_home,services,other,mother,4,3,3,yes,no,yes,yes,yes,yes,yes,yes,4,5,2,4,5,1,5,17,14,12,no
MS,F,20,U,GT3,A,0,1,other,services,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,yes,5,2,3,5,5,5,25,12,9,7,no
GP,F,17,U,GT3,A,2,2,at_home,at_home,other,other,4,1,0,yes,yes,no,yes,yes,no,yes,yes,2,2,5,3,2,1,10,14,2,6,no
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,3,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,8,7,0,no
MS,F,19,U,GT3,A,3,4,health,services,reputation,other,2,4,0,no,yes,yes,yes,no,no,no,yes,3,4,1,5,3,3,3,6,3,6,no
MS,F,18,U,LE3,A,4,0,teacher,services,course,mother,4,1,0,yes,no,yes,no,no,yes,yes,no,2,5,5,2,3,3,1,11,1,20,no
MS,F,17,U,LE3,A,3,4,at_home,services,course,father,1,2,0,no,no,yes,no,yes,yes,no,yes,5,4,1,3,4,5,15,8,9,8,no
MS,F,20,U,LE3,T,1,0,at_home,other,course,father,3,4,1,no,yes,no,no,no,no,no,yes,4,5,5,3,5,3,21,7,4,0,yes
MS,M,20,U,GT3,T,1,1,other,other,other,mother,2,1,1,no,no,no,no,yes,no,no,yes,3,5,4,2,1,5,12,8,9,5,no
GP,F,19,U,GT3,A,3,3,health,other,home,father,2,1,0,yes,yes,yes,yes,yes,yes,no,yes,2,2,5,2,4,5,2,4,0,1,yes
GP,M,19,U,LE3,A,3,2,other,other,home,father,3,1,2,no,yes,no,no,no,yes,yes,yes,2,5,5,2,3,2,8,10,17,6,no
MS,M,19,U,LE3,A,2,0,at_home,health,home,other,1,4,3,yes,no,no,yes,no,no,no,no,5,4,1,3,3,4,8,15,5,5,no
MS,F,15,R,LE3,T,2,2,other,at_home,reputation,father,3,2,0,no,yes,no,yes,yes,yes,no,yes,1,3,5,4,5,3,26,11,14,18,yes
MS,M,17,U,LE3,A,0,4,health,teacher,home,other,3,2,0,no,yes,no,yes,no,yes,yes,yes,2,2,3,2,1,3,21,17,18,18,no
MS,M,18,U,LE3,T,1,3,at_home,health,course,mother,3,1,0,yes,no,no,yes,yes,yes,no,yes,5,4,3,1,3,3,11,11,12,15,no
MS,M,19,R,GT3,T,1,3,teacher,at_home,course,other,3,3,0,no,no,no,no,yes,no,no,yes,5,1,5,5,4,3,19,14,18,19,no
GP,M,15,U,GT3,A,3,1,teacher,other,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,yes,1,3,5,4,3,2,4,18,16,14,no
GP,M,21,R,GT3,T,3,0,teacher,at_home,course,father,4,3,0,no,yes,no,yes,no,no,yes,yes,5,4,2,4,2,5,23,11,10,12,yes
GP,F,20,U,GT3,A,4,0,health,services,other,father,4,2,0,yes,no,yes,yes,yes,yes,no,no,1,2,1,4,4,5,15,6,2,0,yes
MS,M,17,R,LE3,A,2,1,at_home,other,course,mother,4,3,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,4,1,5,1,5,3,7,no
MS,M,19,U,GT3,A,3,2,services,at_home,home,other,3,1,0,no,yes,yes,no,yes,yes,yes,no,4,1,1,3,1,2,14,16,17,18,yes
MS,F,22,U,LE3,T,4,0,at_home,at_home,reputation,other,2,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,1,1,5,3,27,13,16,18,no
MS,F,16,R,GT3,T,0,4,services,services,reputation,other,1,4,0,yes,yes,no,yes,yes,yes,no,yes,2,3,3,2,2,2,15,0,16,2,no
MS,F,21,U,LE3,A,3,0,services,health,home,other,3,3,0,no,yes,no,no,yes,no,yes,yes,2,4,4,2,1,1,0,19,18,18,yes
MS,F,22,R,GT3,A,0,3,at_home,at_home,reputation,mother,3,4,0,yes,yes,yes,no,no,yes,no,yes,5,5,2,4,5,5,8,12,8,12,no
GP,F,22,R,GT3,A,3,4,teacher,teacher,course,mother,1,1,1,no,yes,yes,yes,no,yes,no,yes,1,1,3,4,2,2,18,16,20,8,yes
MS,M,18,U,GT3,T,3,4,health,teacher,home,other,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,5,3,5,1,3,27,19,20,17,no
MS,M,18,R,GT3,A,3,2,services,services,reputation,other,2,2,3,no,yes,yes,yes,no,yes,yes,no,2,5,2,5,2,1,3,11,12,8,no
MS,F,15,R,LE3,T,4,1,other,services,course,father,3,2,0,yes,yes,no,yes,no,no,yes,no,1,3,3,3,2,1,4,12,13,16,no
MS,M,17,R,LE3,A,0,2,teacher,services,reputation,father,4,2,1,yes,no,yes,yes,yes,yes,yes,yes,2,3,4,1,2,3,12,16,16,12,yes
MS,F,22,R,GT3,T,3,2,services,services,home,other,3,1,0,no,no,yes,no,yes,no,no,no,5,4,1,1,4,2,10,3,14,7,no
MS,M,17,R,GT3,T,2,2,services,at_home,home,other,1,2,0,no,yes,yes,yes,no,no,yes,no,2,5,3,2,1,5,18,19,16,13,no
MS,M,19,U,GT3,A,3,2,health,at_home,home,father,4,1,2,yes,yes,no,no,no,yes,no,no,2,1,5,3,1,1,28,7,5,1,yes
GP,M,15,R,GT3,A,3,2,teacher,health,course,other,1,1,0,no,no,yes,yes,no,yes,yes,yes,5,1,2,3,5,2,17,6,3,4,yes
MS,F,21,R,LE3,T,4,3,at_home,services,home,father,2,1,0,yes,yes,no,yes,no,yes,yes,yes,5,2,1,1,2,5,8,18,19,20,yes
GP,F,21,U,GT3,T,0,2,health,services,reputation,other,1,4,0,no,no,no,no,no,yes,yes,yes,2,2,1,5,4,4,11,18,20,20,no
MS,F,15,R,LE3,A,0,1,health,other,course,other,3,4,2,no,no,no,yes,yes,yes,no,yes,5,3,5,5,5,1,9,11,7,7,yes
GP,M,19,U,LE3,T,0,2,teacher,services,course,other,3,4,0,no,yes,no,no,yes,no,yes,no,2,4,4,2,4,2,1,15,17,20,yes
MS,F,15,R,LE3,A,4,0,health,teacher,home,father,2,3,0,yes,yes,yes,no,yes,yes,yes,no,4,2,2,2,1,5,21,4,2,5,yes
MS,M,18,R,LE3,T,3,3,health,other,reputation,other,2,2,0,yes,yes,no,yes,yes,yes,no,no,1,3,4,4,5,5,5,4,7,3,no
MS,M,15,R,LE3,T,2,1,health,health,other,other,2,3,0,yes,no,yes,yes,yes,no,no,yes,4,1,5,1,5,2,25,15,12,14,yes
MS,M,19,R,LE3,T,1,2,services,services,home,other,3,3,0,yes,yes,no,no,no,no,no,yes,5,4,3,3,2,3,15,10,12,9,no
MS,F,18,U,GT3,A,0,0,services,health,reputation,other,3,2,0,yes,yes,yes,no,yes,no,no,yes,1,2,5,5,1,2,23,17,20,17,yes
MS,M,16,U,LE3,A,3,3,services,other,reputation,father,2,3,0,no,no,no,yes,yes,yes,yes,yes,2,1,5,1,2,3,16,13,11,11,yes
GP,M,21,U,GT3,A,2,1,other,at_home,course,mother,2,2,0,yes,no,no,no,no,yes,no,no,4,5,5,2,5,5,17,6,5,4,no
MS,F,22,R,LE3,A,3,2,health,other,home,other,2,1,0,yes,yes,yes,no,yes,yes,no,yes,2,3,3,2,3,3,28,19,16,20,no
GP,M,17,U,LE3,T,4,1,teacher,services,reputation,father,4,1,0,no,yes,yes,yes,yes,no,yes,yes,2,3,3,1,3,5,5,4,8,9,no
GP,M,20,R,LE3,A,2,1,teacher,at_home,other,father,3,4,0,no,no,yes,yes,yes,yes,yes,yes,1,4,2,5,2,1,13,13,11,12,no
GP,M,17,U,LE3,T,2,2,at_home,at_home,reputation,mother,3,1,1,yes,yes,no,no,yes,no,yes,no,5,4,2,3,5,1,6,17,1,7,no
GP,M,20,R,LE3,A,0,4,services,health,other,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,no,4,1,5,3,4,1,6,20,0,20,no
MS,F,16,R,GT3,A,3,4,teacher,at_home,home,father,3,4,0,yes,no,yes,yes,yes,no,yes,no,2,1,3,2,3,2,1,19,4,3,yes
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,no
MS,M,22,U,GT3,T,4,1,at_home,health,course,father,3,4,0,yes,no,yes,no,no,no,yes,yes,2,3,2,3,1,2,12,4,7,11,yes
MS,M,20,R,GT3,T,2,4,services,teacher,other,father,1,1,0,yes,yes,no,yes,no,yes,yes,no,2,1,5,5,2,3,3,17,17,15,yes
GP,M,16,U,LE3,A,2,0,services,teacher,course,other,2,3,0,yes,yes,yes,no,yes,yes,no,no,3,5,4,1,5,2,20,14,11,12,no
GP,F,15,R,GT3,T,3,4,services,health,other,other,2,1,0,yes,no,no,no,no,no,no,yes,5,1,3,3,1,5,23,18,19,20,no
MS,M,16,R,GT3,T,3,0,teacher,services,home,other,2,2,0,no,yes,yes,no,no,no,yes,yes,2,5,2,3,1,3,8,12,12,10,no
MS,F,19,R,GT3,T,3,3,health,at_home,course,father,3,1,2,yes,yes,no,no,no,yes,no,yes,1,1,4,3,2,1,20,15,4,5,yes
MS,F,22,R,LE3,T,0,1,teacher,health,course,other,3,2,0,yes,no,no,yes,yes,no,no,no,5,3,2,4,4,1,20,12,16,17,no
MS,M,16,R,LE3,T,2,0,at_home,services,other,father,2,2,1,no,yes,yes,no,no,yes,yes,no,5,1,4,1,5,4,3,4,8,12,yes
MS,M,21,R,LE3,T,0,2,teacher,services,course,other,2,1,0,yes,no,no,no,no,no,yes,no,5,1,1,2,2,4,24,4,1,0,yes
GP,F,20,R,GT3,T,3,2,health,teacher,home,mother,3,2,0,yes,yes,yes,no,yes,yes,no,no,1,3,4,5,5,2,0,13,15,14,yes
GP,F,16,U,GT3,T,2,4,services,health,reputation,father,2,4,0,yes,yes,no,yes,no,yes,no,yes,5,3,4,1,3,3,7,12,15,18,no
MS,M,20,U,GT3,T,1,2,at_home,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,1,1,2,3,5,4,17,17,18,no
MS,M,17,U,GT3,T,0,1,at_home,services,course,other,3,4,1,yes,yes,no,yes,no,yes,no,yes,3,4,1,3,4,5,29,7,4,4,yes
GP,F,18,U,GT3,A,3,3,services,other,course,other,3,2,0,no,yes,yes,no,no,no,no,yes,4,5,1,2,2,3,25,8,12,11,no
GP,F,20,U,GT3,T,0,2,teacher,health,course,other,3,4,0,yes,no,no,yes,no,yes,no,no,3,5,1,2,1,2,4,19,19,20,no
MS,F,18,U,GT3,T,4,1,other,services,home,other,4,1,0,no,yes,yes,no,no,yes,no,no,5,5,1,1,3,4,13,16,14,17,no
GP,M,17,R,LE3,A,3,4,teacher,teacher,other,other,3,3,2,no,no,no,yes,yes,yes,no,no,1,3,2,5,5,4,11,18,17,17,yes
MS,M,21,U,LE3,T,0,1,health,health,other,father,3,1,0,no,no,no,yes,yes,yes,yes,no,3,5,1,3,5,3,26,12,13,17,no
GP,F,21,R,LE3,A,2,1,services,teacher,reputation,other,4,1,1,no,yes,yes,no,yes,yes,yes,yes,1,2,1,4,3,4,11,17,19,16,yes
MS,M,19,R,LE3,T,4,1,teacher,services,course,father,2,1,0,yes,yes,yes,yes,yes,yes,yes,no,2,4,4,2,3,4,16,8,5,5,yes
MS,M,19,U,LE3,T,1,2,at_home,at_home,other,mother,3,3,0,yes,yes,yes,yes,yes,no,no,no,5,5,3,1,5,5,26,18,20,16,no
GP,F,20,U,GT3,T,1,0,services,services,home,mother,1,3,0,yes,yes,yes,no,no,yes,no,no,5,5,3,4,4,1,15,7,8,4,no
